"state","N"
"Fall-Enviro-3",24.3
"Fall-Health-3",192.32
"Fall-Pure-3",167.64
"Graduated",449.96
"Out",23.06
"Winter-Health-3",0.36
"Winter-Pure-3",0.36
"Fall-Enviro-5",10.4
"Fall-Pure-5",43.54
"Fall-Enviro-7",0.51
"Fall-Enviro-2",0.44
"Fall-Health-2",37.92
"Fall-Pure-2",28.28
"Winter-Health-2",0.44
"Fall-Health-4",15.64
"Fall-Pure-4",24.65
"Winter-Health-4",0.87
"Fall-Health-5",33.75
"Fall-Health-6",1.68
"Fall-Health-7",3.52
"Fall-Health-8",0.99
"Winter-Pure-2",0
"Winter-Pure-4",0.41
"Winter-Pure-5",0
"Fall-Pure-6",2.79
"Fall-Pure-7",2.3
"Fall-Pure-9",0.5
"Fall-Health-1",207
"Fall-Pure-1",211
"Fall-Enviro-1",32
"Fall-DSP-1",28
"Fall-ESP-1",57
