transition.probability,state1,state2
0,Fall-Health-1,Fall-Health-2
0.01,Fall-Health-1,Graduated
0.05,Fall-Health-1,Out
0.92,Fall-Health-1,Winter-Health-2
0.01,Fall-Health-1,Winter-Pure-2
0,Fall-Pure-1,Fall-Pure-2
0.02,Fall-Pure-1,Graduated
0.08,Fall-Pure-1,Out
0.05,Fall-Pure-1,Winter-Health-2
0.84,Fall-Pure-1,Winter-Pure-2
0.01,Winter-Pure-2,Fall-Health-3
0.82,Winter-Pure-2,Fall-Pure-3
0.15,Winter-Pure-2,Graduated
0.02,Winter-Pure-2,Out
0,Winter-Pure-2,Winter-Pure-3
0.04,Fall-Pure-3,Graduated
0.04,Fall-Pure-3,Out
0.01,Fall-Pure-3,Winter-Health-4
0.92,Fall-Pure-3,Winter-Pure-4
0.25,Winter-Pure-4,Fall-Pure-5
0.74,Winter-Pure-4,Graduated
0.01,Winter-Pure-4,Out
0,Winter-Pure-4,Winter-Pure-5
0.03,Winter-Pure-1,Fall-Health-2
0.87,Winter-Pure-1,Fall-Pure-2
0.05,Winter-Pure-1,Graduated
0.05,Winter-Pure-1,Out
0,Winter-Pure-1,Winter-Pure-2
0.01,Fall-Health-2,Fall-Health-3
0.04,Fall-Health-2,Graduated
0.09,Fall-Health-2,Out
0.01,Fall-Health-2,Winter-Enviro-3
0.85,Fall-Health-2,Winter-Health-3
0.01,Fall-Health-2,Winter-Pure-3
0.68,Winter-Health-3,Fall-Health-4
0.02,Winter-Health-3,Fall-Pure-4
0.26,Winter-Health-3,Graduated
0.03,Winter-Health-3,Out
0.02,Winter-Health-3,Winter-Health-4
0.47,Fall-Health-4,Graduated
0.02,Fall-Health-4,Out
0.49,Fall-Health-4,Winter-Health-5
0.02,Fall-Health-4,Winter-Pure-5
0.21,Winter-Health-5,Fall-Health-6
0.79,Winter-Health-5,Graduated
0.17,Fall-Health-6,Graduated
0.17,Fall-Health-6,Out
0.67,Fall-Health-6,Winter-Health-7
0.33,Winter-Health-7,Fall-Health-8
0.67,Winter-Health-7,Graduated
0.83,Winter-Health-2,Fall-Health-3
0.02,Winter-Health-2,Fall-Pure-3
0.13,Winter-Health-2,Graduated
0.02,Winter-Health-2,Out
0,Fall-Health-3,Fall-Health-4
0.02,Fall-Health-3,Graduated
0.03,Fall-Health-3,Out
0.93,Fall-Health-3,Winter-Health-4
0.02,Fall-Health-3,Winter-Pure-4
0.15,Winter-Health-4,Fall-Health-5
0.01,Winter-Health-4,Fall-Pure-5
0.83,Winter-Health-4,Graduated
0.01,Winter-Health-4,Out
0.01,Fall-Pure-2,Fall-Pure-3
0.04,Fall-Pure-2,Graduated
0.11,Fall-Pure-2,Out
0.04,Fall-Pure-2,Winter-Health-3
0.81,Fall-Pure-2,Winter-Pure-3
0.59,Winter-Pure-3,Fall-Pure-4
0.39,Winter-Pure-3,Graduated
0.01,Winter-Pure-3,Out
0.01,Winter-Pure-3,Winter-Health-4
0.01,Winter-Pure-3,Winter-Pure-4
0.01,Fall-Pure-5,Fall-Pure-6
0.56,Fall-Pure-5,Graduated
0.04,Fall-Pure-5,Out
0.39,Fall-Pure-5,Winter-Pure-6
0.1,Winter-Pure-6,Fall-Pure-7
0.87,Winter-Pure-6,Graduated
0.03,Winter-Pure-6,Out
0.11,Fall-Enviro-1,Out
0.83,Fall-Enviro-1,Winter-Enviro-2
0.03,Fall-Enviro-1,Winter-Health-2
0.04,Fall-Enviro-1,Winter-Pure-2
0,Fall-ESP-1,Fall-Enviro-2
0,Fall-ESP-1,Fall-ESP-2
0,Fall-ESP-1,Fall-Health-2
0,Fall-ESP-1,Graduated
0.31,Fall-ESP-1,Out
0.67,Fall-ESP-1,Winter-ESP-2
0.51,Fall-Pure-4,Graduated
0.03,Fall-Pure-4,Out
0.46,Fall-Pure-4,Winter-Pure-5
0.52,Fall-Health-5,Graduated
0.05,Fall-Health-5,Out
0.42,Fall-Health-5,Winter-Health-6
0.22,Winter-Health-6,Fall-Health-7
0.76,Winter-Health-6,Graduated
0.02,Winter-Health-6,Out
