student_number,ansession,program,term,semester,state,count
0014D32530BD5CEBAB5CAB9DA387139EC78DAE001299B53AA96503E9569BD3DA,20163,Health,1,Fall,Fall-Health-1,1
003016BCA8C1120F70087882C88014A274E51E9F2C474A3FB51F1B4EE90CA14E,20103,Pure,1,Fall,Fall-Pure-1,1
003016BCA8C1120F70087882C88014A274E51E9F2C474A3FB51F1B4EE90CA14E,20111,Pure,2,Winter,Winter-Pure-2,2
003016BCA8C1120F70087882C88014A274E51E9F2C474A3FB51F1B4EE90CA14E,20113,Pure,3,Fall,Fall-Pure-3,3
003016BCA8C1120F70087882C88014A274E51E9F2C474A3FB51F1B4EE90CA14E,20121,Pure,4,Winter,Winter-Pure-4,4
003016BCA8C1120F70087882C88014A274E51E9F2C474A3FB51F1B4EE90CA14E,20121,200B0,5,Winter,Graduated,5
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20121,Pure,1,Winter,Winter-Pure-1,1
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20123,Health,2,Fall,Fall-Health-2,2
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20131,Health,3,Winter,Winter-Health-3,3
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20133,Health,4,Fall,Fall-Health-4,4
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20141,Health,5,Winter,Winter-Health-5,5
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20143,Health,6,Fall,Fall-Health-6,6
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20151,Health,7,Winter,Winter-Health-7,7
0032518AC7F1FBCF43FA255658540CAD63C57351A5524D8637B00874003F606E,20151,200B0,8,Winter,Graduated,8
003419C25716366BD222B7AB6087186FDE7C879953DC8EC77ED8B10B20C06B0D,20113,Health,1,Fall,Fall-Health-1,1
